Plate_29L12AU294
Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
"U041","Tie-2","H12","4","2.0","","1104.0","1104.0","1104.0","1104.0","NaN","","","1596.661022644208","1596.661022644208","NaN"
"U041","VEGF-A","H12","1","2.0","","2608.0","2608.0","2608.0","2608.0","NaN","","","15.661359461188058","15.661359461188058","NaN"
"U041","VEGF-C","H12","2","2.0","","1962.0","1962.0","1962.0","1962.0","NaN","","","332.446031207124","332.446031207124","NaN"
"U041","VEGF-D","H12","3","2.0","","5220.0","5220.0","5220.0","5220.0","NaN","","","321.51124818362274","321.51124818362274","NaN"
"U041","bFGF","H12","7","2.0","","1400.0","1400.0","1400.0","1400.0","NaN","","","6.875764392505061","6.875764392505061","NaN"
"S008","Flt-1","H02","5","","0.0","211.0","211.0","211.0","210.5","0.3359177107774573","","NaN","0.017990410039778543","0.00917963740429054","135.73863113883945"
"S008","Flt-1","H01","5","","0.0","210.0","210.0","211.0","210.5","0.3359177107774573","","NaN","3.6886476880253465E-4","0.00917963740429054","135.73863113883945"
"S007","VEGF-C","G01","2","","6.54296875","362.0","362.0","347.0","346.5","6.326207854771421","168.4063049601525","139.30513685694103","11.018771906572479","9.114691571694385","29.54325126913679"
"S007","VEGF-C","G02","2","","6.54296875","331.0","331.0","347.0","346.5","6.326207854771421","110.20396875372957","139.30513685694103","7.21061123681629","9.114691571694385","29.54325126913679"
"U035","Tie-2","C12","4","2.0","","2628.0","2628.0","3149.0","3149.0","23.398071324115037","","","4393.866292584918","5330.273611185462","24.844501923716287"
"U035","Tie-2","C11","4","2.0","","3670.0","3670.0","3149.0","3149.0","23.398071324115037","","","6266.680929786006","5330.273611185462","24.844501923716287"
"U027","Tie-2","C09","4","2.0","","3137.0","3137.0","2774.0","2774.0","18.506111144247786","","","5311.555827227169","4656.12056514188","19.90767687241651"
"U027","Tie-2","C10","4","2.0","","2411.0","2411.0","2774.0","2774.0","18.506111144247786","","","4000.685303056592","4656.12056514188","19.90767687241651"
"U029","bFGF","E10","7","2.0","","1048.0","1048.0","1196.0","1196.0","17.500301607961376","","","4.948745151060612","5.759241724096698","19.9021902666245"
"U029","bFGF","E09","7","2.0","","1344.0","1344.0","1196.0","1196.0","17.500301607961376","","","6.569738297132786","5.759241724096698","19.9021902666245"
"S006","VEGF-D","F01","3","","29.8828125","989.0","989.0","874.0","874.0","18.608073189119672","116.95919801546069","102.57297282742482","34.95069784446384","30.651689145695308","19.834849484672525"
"S006","VEGF-D","F02","3","","29.8828125","759.0","759.0","874.0","874.0","18.608073189119672","88.18674763938895","102.57297282742482","26.352680446926776","30.651689145695308","19.834849484672525"
"U032","VEGF-A","H09","1","2.0","","11590.0","11590.0","10174.0","10174.0","19.682783608416578","","","68.45446086529239","60.31527468862956","19.083967597160147"
"U032","VEGF-A","H10","1","2.0","","8758.0","8758.0","10174.0","10174.0","19.682783608416578","","","52.17608851196672","60.31527468862956","19.083967597160147"
"U029","VEGF-A","E10","1","2.0","","9224.0","9224.0","10605.0","10605.0","18.41611437658882","","","54.870966074182626","62.79222276600433","17.8403441559292"
"U029","VEGF-A","E09","1","2.0","","11986.0","11986.0","10605.0","10605.0","18.41611437658882","","","70.71347945782604","62.79222276600433","17.8403441559292"
"U029","PIGF","E10","6","2.0","","762.0","762.0","822.0","822.0","10.32272673265033","","","1.7495648401976938","1.9856497370235244","16.8143684526667"
"U029","PIGF","E09","6","2.0","","882.0","882.0","822.0","822.0","10.32272673265033","","","2.2217346338493553","1.9856497370235244","16.8143684526667"
"U031","Tie-2","G10","4","2.0","","1438.0","1438.0","1599.0","1599.0","14.239423611136228","","","2218.58855539849","2515.5146409052877","16.693081022774173"
"U031","Tie-2","G09","4","2.0","","1760.0","1760.0","1599.0","1599.0","14.239423611136228","","","2812.440726412085","2515.5146409052877","16.693081022774173"
"U032","PIGF","H10","6","2.0","","868.0","868.0","938.0","938.0","10.553832555023098","","","2.166671301594369","2.4418692958974137","15.93814773522546"
"U032","PIGF","H09","6","2.0","","1008.0","1008.0","938.0","938.0","10.553832555023098","","","2.7170672902004585","2.4418692958974137","15.93814773522546"
"U024","Tie-2","H08","4","2.0","","2273.0","2273.0","2528.0","2528.0","14.265208006532406","","","3749.957046711843","4211.959734571532","15.512267642569485"
"U024","Tie-2","H07","4","2.0","","2783.0","2783.0","2528.0","2528.0","14.265208006532406","","","4673.96242243122","4211.959734571532","15.512267642569485"
"U004","VEGF-D","D03","3","2.0","","14439.0","14439.0","12810.0","12809.5","17.99024942337295","","","763.4032115944168","689.2480380302513","15.215313847577566"
"U004","VEGF-D","D04","3","2.0","","11180.0","11180.0","12810.0","12809.5","17.99024942337295","","","615.092864466086","689.2480380302513","15.215313847577566"
"U013","VEGF-C","E06","2","2.0","","4672.0","4672.0","5266.0","5266.0","15.952200076901224","","","788.5330204987405","883.3243693854947","15.176215650491596"
"U013","VEGF-C","E05","2","2.0","","5860.0","5860.0","5266.0","5266.0","15.952200076901224","","","978.115718272249","883.3243693854947","15.176215650491596"
"U018","VEGF-D","B07","3","2.0","","13079.0","13079.0","14967.0","14966.5","17.83535294811223","","","702.2654591467395","785.9966161481045","15.06542590537167"
"U018","VEGF-D","B08","3","2.0","","16854.0","16854.0","14967.0","14966.5","17.83535294811223","","","869.7277731494695","785.9966161481045","15.06542590537167"
"U013","VEGF-D","E06","3","2.0","","7681.0","7681.0","8769.0","8768.5","17.539570611629593","","","447.3933553486386","500.1258016662123","14.911236435107138"
"U013","VEGF-D","E05","3","2.0","","9856.0","9856.0","8769.0","8768.5","17.539570611629593","","","552.858247983786","500.1258016662123","14.911236435107138"
"U039","VEGF-C","G11","2","2.0","","9563.0","9563.0","8633.0","8632.5","15.243854269193918","","","1546.4552379929191","1405.4302164842375","14.19063683933338"
"U039","VEGF-C","G12","2","2.0","","7702.0","7702.0","8633.0","8632.5","15.243854269193918","","","1264.4051949755558","1405.4302164842375","14.19063683933338"
"U008","VEGF-D","H03","3","2.0","","10568.0","10568.0","9508.0","9507.5","15.774635633938125","","","586.4888111371191","535.7706243196254","13.38751032633734"
"U008","VEGF-D","H04","3","2.0","","8447.0","8447.0","9508.0","9507.5","15.774635633938125","","","485.05243750213174","535.7706243196254","13.38751032633734"
"U029","VEGF-D","E10","3","2.0","","5757.0","5757.0","6454.0","6454.0","15.27280528314297","","","349.7278346223309","385.34458479287434","13.0713374799106"
"U029","VEGF-D","E09","3","2.0","","7151.0","7151.0","6454.0","6454.0","15.27280528314297","","","420.96133496341787","385.34458479287434","13.0713374799106"
"U008","Tie-2","H03","4","2.0","","3038.0","3038.0","2805.0","2804.5","11.774607481337767","","","5133.525734633093","4712.118017997977","12.647401993706051"
"U008","Tie-2","H04","4","2.0","","2571.0","2571.0","2805.0","2804.5","11.774607481337767","","","4290.710301362862","4712.118017997977","12.647401993706051"
"U031","VEGF-C","G10","2","2.0","","5823.0","5823.0","6426.0","6426.0","13.270631467646691","","","972.2768282458261","1066.5061301409814","12.495038982613432"
"U031","VEGF-C","G09","2","2.0","","7029.0","7029.0","6426.0","6426.0","13.270631467646691","","","1160.735432036137","1066.5061301409814","12.495038982613432"
"U027","bFGF","C09","7","2.0","","3005.0","3005.0","2772.0","2772.0","11.88714863033662","","","15.590603763860782","14.32985538659352","12.442326916566875"
"U027","bFGF","C10","7","2.0","","2539.0","2539.0","2772.0","2772.0","11.88714863033662","","","13.069107009326258","14.32985538659352","12.442326916566875"
"U010","Tie-2","B05","4","2.0","","3869.0","3869.0","3582.0","3581.5","11.352405393892639","","","6621.958315679528","6107.71323852821","11.907113744361709"
"U010","Tie-2","B06","4","2.0","","3294.0","3294.0","3582.0","3581.5","11.352405393892639","","","5593.468161376893","6107.71323852821","11.907113744361709"
"U007","VEGF-C","G04","2","2.0","","5435.0","5435.0","5962.0","5962.0","12.50068009679002","","","910.8070978918079","993.8069899841026","11.8111035900748"
"U007","VEGF-C","G03","2","2.0","","6489.0","6489.0","5962.0","5962.0","12.50068009679002","","","1076.8068820763974","993.8069899841026","11.8111035900748"
"U034","VEGF-D","B12","3","2.0","","12153.0","12153.0","13474.0","13474.0","13.865044648173214","","","660.0406875774718","719.6443752944967","11.713055285448844"
"U034","VEGF-D","B11","3","2.0","","14795.0","14795.0","13474.0","13474.0","13.865044648173214","","","779.2480630115217","719.6443752944967","11.713055285448844"
"U023","VEGF-D","G08","3","2.0","","10630.0","10630.0","11724.0","11723.5","13.190962856271415","","","589.3989776201357","639.8845502523475","11.157853630391505"
"U023","VEGF-D","G07","3","2.0","","12817.0","12817.0","11724.0","11723.5","13.190962856271415","","","690.3701228845594","639.8845502523475","11.157853630391505"
"U003","VEGF-C","C04","2","2.0","","10022.0","10022.0","10952.0","10952.0","12.00893547303669","","","1615.107577801349","1752.6356315768994","11.097231812020606"
"U003","VEGF-C","C03","2","2.0","","11882.0","11882.0","10952.0","10952.0","12.00893547303669","","","1890.16368535245","1752.6356315768994","11.097231812020606"
"U013","Flt-1","E05","5","2.0","","1915.0","1915.0","1794.0","1793.5","9.580537932998665","","","66.76481095782859","61.943495838342855","11.00740140376551"
"U013","Flt-1","E06","5","2.0","","1672.0","1672.0","1794.0","1793.5","9.580537932998665","","","57.12218071885712","61.943495838342855","11.00740140376551"
"U004","Tie-2","D03","4","2.0","","3741.0","3741.0","3485.0","3485.0","10.388484131062048","","","6393.515828932382","5935.164755524116","10.921454265257278"
"U004","Tie-2","D04","4","2.0","","3229.0","3229.0","3485.0","3485.0","10.388484131062048","","","5476.8136821158505","5935.164755524116","10.921454265257278"
"U007","Tie-2","G04","4","2.0","","2829.0","2829.0","3046.0","3046.0","10.074994846847066","","","4756.97495591689","5147.409233227192","10.726900177730554"
"U007","Tie-2","G03","4","2.0","","3263.0","3263.0","3046.0","3046.0","10.074994846847066","","","5537.843510537494","5147.409233227192","10.726900177730554"
"U035","VEGF-D","C12","3","2.0","","7351.0","7351.0","8069.0","8069.0","12.584029468135856","","","430.97392692555826","466.27649407241177","10.707245567886984"
"U035","VEGF-D","C11","3","2.0","","8787.0","8787.0","8069.0","8069.0","12.584029468135856","","","501.5790612192653","466.27649407241177","10.707245567886984"
"U011","VEGF-D","C05","3","2.0","","6591.0","6591.0","6057.0","6056.5","12.480758673960526","","","392.66349115254496","365.0513090133581","10.69699560138416"
"U011","VEGF-D","C06","3","2.0","","5522.0","5522.0","6057.0","6056.5","12.480758673960526","","","337.4391268741712","365.0513090133581","10.69699560138416"
"U027","Flt-1","C09","5","2.0","","2205.0","2205.0","2067.0","2067.0","9.44177414646769","","","78.29870924189653","72.80985245573382","10.661216095217625"
"U027","Flt-1","C10","5","2.0","","1929.0","1929.0","2067.0","2067.0","9.44177414646769","","","67.32099566957112","72.80985245573382","10.661216095217625"
"U032","VEGF-D","H09","3","2.0","","10640.0","10640.0","9781.0","9781.0","12.42009457190971","","","589.8680926676664","548.9894456484521","10.530464198223385"
"U032","VEGF-D","H10","3","2.0","","8922.0","8922.0","9781.0","9781.0","12.42009457190971","","","508.1107986292379","548.9894456484521","10.530464198223385"
"U010","VEGF-C","B05","2","2.0","","14024.0","14024.0","12976.0","12975.5","11.427713152851068","","","2201.5278852463207","2049.1443217279057","10.516726417237672"
"U010","VEGF-C","B06","2","2.0","","11927.0","11927.0","12976.0","12975.5","11.427713152851068","","","1896.7607582094909","2049.1443217279057","10.516726417237672"
"U023","Tie-2","G08","4","2.0","","2629.0","2629.0","2823.0","2823.0","9.718647931292258","","","4395.675296489254","4745.704978842537","10.430836434714317"
"U023","Tie-2","G07","4","2.0","","3017.0","3017.0","2823.0","2823.0","9.718647931292258","","","5095.734661195819","4745.704978842537","10.430836434714317"
"U032","bFGF","H10","7","2.0","","13167.0","13167.0","14214.0","14214.0","10.417064864250952","","","69.92580630336948","75.48843491592322","10.421125878526778"
"U032","bFGF","H09","7","2.0","","15261.0","15261.0","14214.0","14214.0","10.417064864250952","","","81.05106352847694","75.48843491592322","10.421125878526778"
"U026","VEGF-D","B09","3","2.0","","18173.0","18173.0","16748.0","16748.0","12.032805865665514","","","926.7444232808549","864.6895233547209","10.149178256117548"
"U026","VEGF-D","B10","3","2.0","","15323.0","15323.0","16748.0","16748.0","12.032805865665514","","","802.634623428587","864.6895233547209","10.149178256117548"
"U005","VEGF-C","E04","2","2.0","","5880.0","5880.0","6365.0","6365.0","10.7760185035499","","","981.2702629927719","1057.1310029258175","10.148532865656565"
"U005","VEGF-C","E03","2","2.0","","6850.0","6850.0","6365.0","6365.0","10.7760185035499","","","1132.9917428588633","1057.1310029258175","10.148532865656565"
"S006","VEGF-C","F01","2","","26.171875","503.0","503.0","521.0","520.5","4.7548006419844695","103.23482812828682","110.45584108999003","27.018490174200064","28.90836466027083","9.245372959672366"
"S006","VEGF-C","F02","2","","26.171875","538.0","538.0","521.0","520.5","4.7548006419844695","117.67685405169325","110.45584108999003","30.798239146341597","28.90836466027083","9.245372959672366"
"S003","VEGF-D","C01","3","","1912.5","107289.0","107289.0","99854.0","99854.0","10.530051711743106","109.72957807797643","103.06206847233358","2098.578180741299","1971.0620595333794","9.149129889707433"
"S003","VEGF-D","C02","3","","1912.5","92419.0","92419.0","99854.0","99854.0","10.530051711743106","96.39455886669072","103.06206847233358","1843.54593832546","1971.0620595333794","9.149129889707433"
"U020","VEGF-D","D07","3","2.0","","9168.0","9168.0","8523.0","8523.0","10.702425762415185","","","519.9702515988683","488.5538507232036","9.094084538182711"
"U020","VEGF-D","D08","3","2.0","","7878.0","7878.0","8523.0","8523.0","10.702425762415185","","","457.1374498475388","488.5538507232036","9.094084538182711"
"U020","VEGF-C","D07","2","2.0","","1809.0","1809.0","1708.0","1707.5","8.40659892128077","","","305.10869150431836","286.7580027932694","9.050067513812882"
"U020","VEGF-C","D08","2","2.0","","1606.0","1606.0","1708.0","1707.5","8.40659892128077","","","268.4073140822204","286.7580027932694","9.050067513812882"
"U013","Tie-2","E06","4","2.0","","2497.0","2497.0","2654.0","2653.5","8.340848785053302","","","4156.660565827074","4439.676917956499","9.015195721471967"
"U013","Tie-2","E05","4","2.0","","2810.0","2810.0","2654.0","2653.5","8.340848785053302","","","4722.693270085924","4439.676917956499","9.015195721471967"
"U027","VEGF-A","C09","1","2.0","","14477.0","14477.0","13580.0","13579.5","9.346858663646325","","","84.84252595865266","79.75869966040202","9.014209271649536"
"U027","VEGF-A","C10","1","2.0","","12682.0","12682.0","13580.0","13579.5","9.346858663646325","","","74.67487336215137","79.75869966040202","9.014209271649536"
"U031","VEGF-D","G10","3","2.0","","12079.0","12079.0","13053.0","13053.0","10.552700603320268","","","656.6438463921953","700.8148982592534","8.913523495268274"
"U031","VEGF-D","G09","3","2.0","","14027.0","14027.0","13053.0","13053.0","10.552700603320268","","","744.9859501263115","700.8148982592534","8.913523495268274"
"U008","VEGF-C","H03","2","2.0","","3673.0","3673.0","3452.0","3451.5","9.075715024355803","","","625.1110541455137","588.1354043513788","8.891058934650026"
"U008","VEGF-C","H04","2","2.0","","3230.0","3230.0","3452.0","3451.5","9.075715024355803","","","551.1597545572441","588.1354043513788","8.891058934650026"
"U007","VEGF-D","G04","3","2.0","","9306.0","9306.0","10052.0","10051.5","10.488944045656295","","","526.5994696797443","561.9115222922452","8.887303737092322"
"U007","VEGF-D","G03","3","2.0","","10797.0","10797.0","10052.0","10051.5","10.488944045656295","","","597.2235749047461","561.9115222922452","8.887303737092322"
"S005","VEGF-D","E02","3","","119.53125","3696.0","3696.0","3455.0","3455.0","9.864702417711026","99.70657980057842","93.9547174307973","119.1805211678789","112.30524817899989","8.65774704526073"
"S005","VEGF-D","E01","3","","119.53125","3214.0","3214.0","3455.0","3455.0","9.864702417711026","88.20285506101617","93.9547174307973","105.42997519012089","112.30524817899989","8.65774704526073"
"S007","PIGF","G01","6","","0.29296875","458.0","458.0","467.0","467.0","2.72546510949847","93.94863762759749","100.02277058374278","0.27524014929960205","0.2930354606945589","8.5881656307911"
"S007","PIGF","G02","6","","0.29296875","476.0","476.0","467.0","467.0","2.72546510949847","106.09690353988806","100.02277058374278","0.31083077208951576","0.2930354606945589","8.5881656307911"
"U003","VEGF-A","C03","1","2.0","","55024.0","55024.0","51769.0","51768.5","8.893385460860582","","","304.73680254418656","287.48429432616695","8.486978797942575"
"U003","VEGF-A","C04","1","2.0","","48513.0","48513.0","51769.0","51768.5","8.893385460860582","","","270.23178610814733","287.48429432616695","8.486978797942575"
"U027","PIGF","C09","6","2.0","","1385.0","1385.0","1327.0","1326.5","6.236825736813121","","","4.197122182971133","3.967595243756436","8.181280862210235"
"U027","PIGF","C10","6","2.0","","1268.0","1268.0","1327.0","1326.5","6.236825736813121","","","3.7380683045417396","3.967595243756436","8.181280862210235"
"S006","PIGF","F02","6","","1.171875","961.0","961.0","926.0","926.0","5.345299641798955","108.0468390987643","102.17551595713212","1.2661738956886441","1.197369327622642","8.126511266608025"
"S006","PIGF","F01","6","","1.171875","891.0","891.0","926.0","926.0","5.345299641798955","96.30419281549996","102.17551595713212","1.1285647595566402","1.197369327622642","8.126511266608025"
"U038","Flt-1","F12","5","2.0","","1894.0","1894.0","1995.0","1995.0","7.159677684194615","","","65.93065941917828","69.94555977382501","8.117636847110816"
"U038","Flt-1","F11","5","2.0","","2096.0","2096.0","1995.0","1995.0","7.159677684194615","","","73.96046012847172","69.94555977382501","8.117636847110816"
"U014","VEGF-D","F05","3","2.0","","9239.0","9239.0","8658.0","8657.5","9.49887596326832","","","523.3830286873869","495.13606970418186","8.067930198200141"
"U014","VEGF-D","F06","3","2.0","","8076.0","8076.0","8658.0","8657.5","9.49887596326832","","","466.88911072097693","495.13606970418186","8.067930198200141"
"U015","Tie-2","G06","4","2.0","","2465.0","2465.0","2602.0","2602.0","7.446089855692314","","","4098.647226168422","4346.579403827455","8.066781154057555"
"U015","Tie-2","G05","4","2.0","","2739.0","2739.0","2602.0","2602.0","7.446089855692314","","","4594.5115814864885","4346.579403827455","8.066781154057555"
"U024","VEGF-C","H08","2","2.0","","3622.0","3622.0","3848.0","3847.5","8.288633094610343","","","616.6490851236908","653.8518604455971","8.046573329668846"
"U024","VEGF-C","H07","2","2.0","","4073.0","4073.0","3848.0","3847.5","8.288633094610343","","","691.0546357675034","653.8518604455971","8.046573329668846"
"U025","Tie-2","A09","4","2.0","","4039.0","4039.0","3831.0","3830.5","7.6977816931155285","","","6924.940898540506","6552.912136709155","8.028920724076526"
"U025","Tie-2","A10","4","2.0","","3622.0","3622.0","3831.0","3830.5","7.6977816931155285","","","6180.883374877803","6552.912136709155","8.028920724076526"
"U026","VEGF-C","B09","2","2.0","","3949.0","3949.0","3732.0","3732.0","8.223053135985039","","","670.690024452078","634.771667053582","8.002283467833044"
"U026","VEGF-C","B10","2","2.0","","3515.0","3515.0","3732.0","3732.0","8.223053135985039","","","598.853309655086","634.771667053582","8.002283467833044"
"U003","PIGF","C04","6","2.0","","966.0","966.0","1005.0","1004.5","5.4203307268655205","","","2.552001367254745","2.703295991821877","7.9148902163977946"
"U003","PIGF","C03","6","2.0","","1043.0","1043.0","1005.0","1004.5","5.4203307268655205","","","2.8545906163890087","2.703295991821877","7.9148902163977946"
"S005","VEGF-C","E02","2","","104.6875","1258.0","1258.0","1320.0","1319.5","6.591446311932198","97.4839876495424","102.96533509282729","102.0535495706147","107.79183517530358","7.528549183454832"
"S005","VEGF-C","E01","2","","104.6875","1381.0","1381.0","1320.0","1319.5","6.591446311932198","108.44668253611218","102.96533509282729","113.53012077999244","107.79183517530358","7.528549183454832"
"U029","VEGF-C","E10","2","2.0","","3295.0","3295.0","3485.0","3484.5","7.691016503650496","","","562.0762699158001","593.6765586892371","7.527593317305597"
"U029","VEGF-C","E09","2","2.0","","3674.0","3674.0","3485.0","3484.5","7.691016503650496","","","625.2768474626741","593.6765586892371","7.527593317305597"
"U013","PIGF","E05","6","2.0","","1549.0","1549.0","1487.0","1487.0","5.8965192244204365","","","4.840239164719249","4.597127150886567","7.47885137507476"
"U013","PIGF","E06","6","2.0","","1425.0","1425.0","1487.0","1487.0","5.8965192244204365","","","4.354015137053884","4.597127150886567","7.47885137507476"
"U033","PIGF","A11","6","2.0","","1422.0","1422.0","1484.0","1483.5","5.8627660320825985","","","4.342248981699371","4.583403373797012","7.440842189017123"
"U033","PIGF","A12","6","2.0","","1545.0","1545.0","1484.0","1483.5","5.8627660320825985","","","4.824557765894652","4.583403373797012","7.440842189017123"
"U012","Tie-2","D06","4","2.0","","2635.0","2635.0","2771.0","2770.5","6.916655394389258","","","4406.528781522515","4651.174165876729","7.438569449064953"
"U012","Tie-2","D05","4","2.0","","2906.0","2906.0","2771.0","2770.5","6.916655394389258","","","4895.819550230943","4651.174165876729","7.438569449064953"
"U025","VEGF-C","A09","2","2.0","","3010.0","3010.0","2862.0","2861.5","7.339182736760601","","","514.0294052931142","488.725424299348","7.322155002416357"
"U025","VEGF-C","A10","2","2.0","","2713.0","2713.0","2862.0","2861.5","7.339182736760601","","","463.4214433055817","488.725424299348","7.322155002416357"
"U037","Flt-1","E11","5","2.0","","2194.0","2194.0","2099.0","2099.0","6.400680725366557","","","77.8607430952127","74.08120833122962","7.21514867682334"
"U037","Flt-1","E12","5","2.0","","2004.0","2004.0","2099.0","2099.0","6.400680725366557","","","70.30167356724655","74.08120833122962","7.21514867682334"
"U032","Flt-1","H10","5","2.0","","1270.0","1270.0","1326.0","1325.5","5.921452486737591","","","41.22382307792898","43.41495351049505","7.137463302625193"
"U032","Flt-1","H09","5","2.0","","1381.0","1381.0","1326.0","1325.5","5.921452486737591","","","45.60608394306113","43.41495351049505","7.137463302625193"
"U013","bFGF","E05","7","2.0","","44043.0","44043.0","41937.0","41937.0","7.101923748379088","","","233.48600464709952","222.33484339562796","7.09296088601762"
"U013","bFGF","E06","7","2.0","","39831.0","39831.0","41937.0","41937.0","7.101923748379088","","","211.1836821441564","222.33484339562796","7.09296088601762"
"U026","Flt-1","B09","5","2.0","","2233.0","2233.0","2139.0","2138.5","6.249388900830371","","","79.41369183936865","75.65290607340168","7.030204801716251"
"U026","Flt-1","B10","5","2.0","","2044.0","2044.0","2139.0","2138.5","6.249388900830371","","","71.89212030743472","75.65290607340168","7.030204801716251"
"U036","Flt-1","D12","5","2.0","","1970.0","1970.0","2061.0","2060.5","6.211420887879888","","","68.95020201592276","72.549619844346","7.016364138812738"
"U036","Flt-1","D11","5","2.0","","2151.0","2151.0","2061.0","2060.5","6.211420887879888","","","76.14903767276924","72.549619844346","7.016364138812738"
"U036","VEGF-C","D12","2","2.0","","5692.0","5692.0","6005.0","6005.0","7.371337968739029","","","951.5724897080707","1000.8262339576027","6.959780904213842"
"U036","VEGF-C","D11","2","2.0","","6318.0","6318.0","6005.0","6005.0","7.371337968739029","","","1050.0799782071344","1000.8262339576027","6.959780904213842"
"U039","Flt-1","G12","5","2.0","","1304.0","1304.0","1359.0","1359.0","5.723454446690231","","","42.56545932163865","44.73778504146094","6.866974956443331"
"U039","Flt-1","G11","5","2.0","","1414.0","1414.0","1359.0","1359.0","5.723454446690231","","","46.91011076128322","44.73778504146094","6.866974956443331"
"U003","Flt-1","C04","5","2.0","","2254.0","2254.0","2357.0","2356.5","6.151363893199332","","","80.25007782363065","84.33566516531567","6.851067122723118"
"U003","Flt-1","C03","5","2.0","","2459.0","2459.0","2357.0","2356.5","6.151363893199332","","","88.42125250700069","84.33566516531567","6.851067122723118"
"U030","bFGF","F09","7","2.0","","1350.0","1350.0","1295.0","1294.5","6.063256292908982","","","6.60253576422891","6.298976615127295","6.815352586179825"
"U030","bFGF","F10","7","2.0","","1239.0","1239.0","1295.0","1294.5","6.063256292908982","","","5.99541746602568","6.298976615127295","6.815352586179825"
"U031","Flt-1","G10","5","2.0","","1986.0","1986.0","2075.0","2074.5","6.033159810557672","","","69.58614141810003","73.10640441320355","6.809805120023653"
"U031","Flt-1","G09","5","2.0","","2163.0","2163.0","2075.0","2074.5","6.033159810557672","","","76.62666740830707","73.10640441320355","6.809805120023653"
"S002","VEGF-D","B02","3","","7650.0","462629.0","462629.0","442174.0","442174.0","6.5421617775675776","107.65434266514522","102.70900431429442","8235.557213883609","7857.238830043523","6.809300326674118"
"S002","VEGF-D","B01","3","","7650.0","421719.0","421719.0","442174.0","442174.0","6.5421617775675776","97.76366596344363","102.70900431429442","7478.920446203438","7857.238830043523","6.809300326674118"
